Name of the city,|1993_Q1 num of people|,|1993_Q1 total price|,|1993_Q2 num of people|,|1993_Q2 total price|,|1993_Q3 num of people|,|1993_Q3 total price|,|1993_Q4 num of people|,|1993_Q4 total price|,|2015_Q1 num of people|,|2015_Q1 total price|,|2015_Q2 num of people|,|2015_Q2 total price|,|2015_Q3 num of people|,|2015_Q3 total price|,|2015_Q4 num of people|,|2015_Q4 total price|,
Front Royal, VA: Front Royal-Warren County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Biskra, Algeria: Mohamed Khider,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cruz Alta, Brazil: Cruz Alta Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Newman, Australia: Newman Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Iquitos, Peru: Coronel Francisco Secada Vignetta International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kiunga, Papua New Guinea: Kiunga Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ondjiva, Angola: Ondjiva Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chiloquin, OR: Chiloquin State,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Montrose/Delta, CO: Montrose Regional,466.0,84057.48,500.0,79057.78,607.0,102632.43999999999,346.0,64085.71999999999,4338.0,1176380.3499999994,1311.0,392594.79000000004,2243.0,689718.3700000003,2093.0,612439.7399999999,
Millville, NJ: Millville Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Karup, Denmark: Karup Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Akhiok, AK: Akhiok Airport,4.0,150.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sacramento, CA: Sacramento International,49337.0,3813633.220000004,66589.0,5346053.360000006,63693.0,4785671.280000003,60620.0,4563226.460000007,89664.0,10427913.250000004,113003.0,14400660.159999995,112597.0,14231331.110000014,113088.0,13338274.83999999,
Lubango, Angola: Lubango Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Savoonga, AK: Savoonga Airport,1.0,404.97,2.0,715.44,3.0,1205.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Phoenix, AZ: Phoenix Sky Harbor International,176969.0,9960049.839999994,189234.0,10048369.28,170777.0,8689672.000000002,190478.0,10570178.110000003,308687.0,33518676.949999977,292426.0,32803471.18,258166.0,26665838.519999996,308545.0,31554469.689999994,
Villavicencio, Colombia: Vanguardia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Winona, MN: Winona Municipal/Max Conrad Field,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Little Port Walter, AK: Little Port Walter Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
El Vigia, Venezuela: Juan Pablo Perez Alfonso,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Guangzhou, China: Baiyun International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Wichita, KS: Cessna Aircraft Field,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sheffield, United Kingdom: Sheffield City,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Hampton, IA: Hampton Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Norfolk, VA: Norfolk NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Houston, TX: Westchase Heliport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Roswell, NM: Roswell International Air Center,75.0,21494.089999999997,109.0,31278.859999999993,101.0,23771.03,81.0,19738.120000000003,772.0,225565.06000000003,968.0,278294.69,927.0,254831.39999999994,861.0,226050.35,
Willmar, MN: Willmar Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
San Francisco, CA: China Basin Heliport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Grandview, MO: Richards/Gebaur AFB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gavle, Sweden: Gavle Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Andamooka, Australia: Andamooka Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kodiak, AK: Lilly Lake,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Limoges, France: Limoges Bellegarde,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sao Vicente, Cape Verde: Sao Pedro International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Meadville, PA: Port Meadville,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Arraias, Brazil: Arraias Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Hindon, India: Hindon Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Moron, Spain: Moron AB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Orlando, FL: Orlando International,143990.0,12850332.510000005,158166.0,12651729.379999993,131354.0,10171749.610000003,140726.0,12109300.700000005,360917.0,31623271.64999999,366738.0,31125781.759999994,328309.0,25975003.85,376881.0,30445888.770000033,
Larnaca, Cyprus: Larnaca Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Charleston/Dunbar, WV: Yeager,3395.0,584184.5000000001,4275.0,690442.49,4404.0,783517.0000000003,3996.0,698913.2299999996,4030.0,1129596.1999999997,5613.0,1529777.9000000001,5069.0,1406739.6899999997,4570.0,1221150.539999999,
Riviere-Du-Loup, Canada: Riviere-Du-Loup Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Passo Fundo, Brazil: Passo Fundo Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Fort Dix, NJ: McGuire Field,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Melbourne, Australia: Melbourne International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Capri, Italy: Capri Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Avalon, Australia: Avalon Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bhopal, India: Raja Bhoj,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Khartoum, Sudan: Khartoum Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sepulot, Malaysia: Sepulot Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bissau, Guinea-Bissau: Osvaldo Vieira,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bandirma, Turkey: Bandirma Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tortola, British Virgin Islands: Tortola West End Seaplane Base,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Koyukuk, AK: Koyukuk Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jackson, WY: Jackson Hole,3858.0,469308.30000000005,3167.0,470186.54000000004,5126.0,775363.7600000001,2243.0,383742.34000000014,7012.0,2107072.34,5219.0,1723819.2899999996,11319.0,3524657.929999998,4441.0,1414936.0999999999,
Mildenhall, United Kingdom: Mildenhall NAF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mingan, Canada: Mingan Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Moscow, Russia: Vnukovo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Santiago, Chile: Arturo Merino Benitez International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cambridge, MD: Cambridge Dorchester Regional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Little Rock, AR: North Little Rock Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Windom, MN: Windom Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Comox, Canada: Comox Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Caicara, Venezuela: Caicara Venez.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Port Clarence, AK: Port Clarence CGS,2.0,897.99,1.0,355.5,6.0,2855.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Huslia, AK: Huslia Airport,N/A,N/A,0,0,1.0,321.0,2.0,555.65,N/A,N/A,N/A,N/A,N/A,N/A,1.0,1027.55,
Banff, Canada: Banff Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Wilbur, WA: Wilbur Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tetuan, Morocco: Tetouan/Sania Ramel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Vancouver, Canada: Coal Harbour Seaplane Base,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Springbok, South Africa: Springbok Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Monrovia, Liberia: Monrovia Roberts International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Montlucon, France: Gueret/Lepaud,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Snap Lake, Canada: Snap Lake Mine/Debeers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Oakland, CA: Oakland Convention Center Heliport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Artigas, Uruguay: Artigas International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Avon Park, FL: Avon Park Executive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Afognak Lake, AK: Afognak Lake Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Daxian, China: Daxian Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lincoln, NE: Lincoln Airport,3763.0,653060.4900000003,5252.0,852818.5200000006,4696.0,783219.8100000003,4569.0,807961.9699999999,2952.0,788364.0299999998,3562.0,978589.14,3640.0,968537.44,3545.0,919383.7799999998,
Tuamoto Islands, French Polynesia: Rangiroa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dammam, Saudi Arabia: King Fahd International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Newport News/Williamsburg, VA: Newport News/Williamsburg International,2187.0,376777.37000000005,2766.0,430687.88000000024,3056.0,472258.17,2674.0,420068.7800000001,4057.0,1038213.5399999999,5154.0,1399796.8099999996,5166.0,1309769.18,4841.0,1189017.8900000004,
Danville, KY: Stuart Powell Field,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kinston, NC: Kinston Regional Jetport at Stallings Field,329.0,58097.69999999999,239.0,38201.270000000004,494.0,74135.81999999999,416.0,63674.59000000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Aleneva, AK: Aleneva Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alpena, MI: Alpena County Regional,65.0,15822.589999999995,85.0,20916.23,90.0,18330.99,72.0,15936.060000000001,253.0,72460.29,254.0,82656.91000000003,293.0,103701.50000000001,244.0,78083.81999999999,
Povungnituk, Canada: Puvirnituq,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dianopolis, Brazil: Dianopolis Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cornelio Procopio, Brazil: Cornelio Procopio Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Put-In-Bay, OH: Put-In-Bay Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lancaster, OH: Fairfield County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nankina, Papua New Guinea: Nankina Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Fresno, CA: Fresno Yosemite International,4675.0,849822.6500000001,8777.0,1407128.51,6765.0,1124885.0999999999,5931.0,1007401.8400000001,11967.0,2416425.7600000002,14965.0,3390806.3300000015,15103.0,3377428.6800000006,14318.0,2942093.62,
Kenema, Sierra Leone: Kenema Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Burbank, CA: Bob Hope,43583.0,1461672.8600000034,52542.0,1698788.5600000047,55799.0,1597364.0100000063,54830.0,1758916.4300000025,45856.0,2861196.73,51037.0,3592847.4000000013,50215.0,3609084.9800000004,51879.0,3512750.680000001,
Parowan, UT: Parowan Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gainesville, GA: Lee Gilmer Memorial,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Galbraith Lake, AK: Galbraith Lake Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Stawell, Australia: Stawell Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Myrtle Creek, OR: Myrtle Creek Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Duluth, MN: Duluth International,2510.0,378570.8899999999,2858.0,415115.2199999999,3317.0,460796.60999999964,2698.0,386860.4199999999,2907.0,771662.5599999997,2909.0,804748.5599999999,3398.0,975480.2000000004,2566.0,713184.2699999997,
Merritt, Canada: Merritt Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Al Najaf, Iraq: Al Najaf International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
La Romana, Dominican Republic: Casa de Campo International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Young, Australia: Young Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Trabzon, Turkey: Trabzon Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gurupi, Brazil: Gurupi Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Franklin, NC: Macon County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Salamo, Papua New Guinea: Salamo Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Keokuk, IA: Keokuk Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
New York, NY: East 34th Street Heliport,5.0,2796.19,9.0,6356.27,8.0,4760.11,18.0,12745.329999999998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Broken Hill, Australia: Broken Hill Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ciego de Avila, Cuba: Maximo Gomez,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mels, AK: Mels Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tuguegarao, Philippines: Tuguegarao Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Saint-Yan, France: Saint-Yan Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sun City, South Africa: Pilanesberg International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Philipsburg, Sint Maarten: Princess Juliana International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mesa, AZ: Falcon Field,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bozeman, MT: Bozeman Yellowstone International,3912.0,515674.13999999984,3546.0,533480.5899999996,5226.0,727066.2399999999,3478.0,531309.3900000001,10785.0,2525481.2800000003,10307.0,2256773.2000000016,15341.0,3595206.139999999,11153.0,2455322.09,
Indian Creek, ID: Indian Creek Usfs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Marlboro, MA: Marlboro Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Puerto Penasco, Mexico: Puerto Penasco Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bulimba, Australia: Bulimba Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Simbai, Papua New Guinea: Simbai Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Malalaua, Papua New Guinea: Malalaua Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Springfield, TN: Springfield Robertson County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Solo City, Indonesia: Adi Soemarmo International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brooksville, FL: Brooksville Tampa Bay Regional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tabatinga, Brazil: Tabatinga Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ganja, Azerbaijan: Ganja Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nixon Fork Mine, AK: Nixon Fork Mine Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
King Island, Australia: King Island Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Debra Tabor, Ethiopia: Debre Tabor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nellie Juan, AK: Nellie Juan Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Temuco, Chile: Maquehue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Siegen, Germany: Siegerland,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Trenton, NJ: Trenton Mercer,97.0,18004.59,96.0,20433.01,12.0,2610.5199999999995,13.0,2346.66,7949.0,189651.93000000002,9633.0,131576.79,12508.0,130818.32,10507.0,139427.27000000002,
Bermuda Dunes, CA: Bermuda Dunes Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Douglas, WY: Converse County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
San Tome, Venezuela: San Tome Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Upper Heyford, United Kingdom: Upper Heyford Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Livramento, Brazil: Livramento Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Thermal, CA: Jacqueline Cochran Regional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bell Island, AK: Bell Island Hot Springs Seaplane Base,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Delta, UT: Delta Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kokomo/Logansport/Peru, IN: Kokomo Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Akiak, AK: Akiak Airport,2.0,273.01,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brazzaville, Congo (Brazaville): Maya Maya,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Stillwater, OK: Stillwater Regional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Graz, Austria: Graz International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Hoolehua, HI: Molokai,2880.0,37134.03999999999,2112.0,30392.330000000005,2335.0,21338.460000000003,1953.0,24517.24,183.0,39793.58,195.0,43529.94,184.0,30091.98,180.0,30538.03,
Shafter, CA: Shafter - Minter Field,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
